sample_order,recommendation_id,case_id,jurisdiction,year,year_bin,recommendation_count,text_chars,theme,mechanism,addressee,specificity,scope,has_deadline_or_metric,ambiguous_theme,ambiguous_mechanism,ambiguous_addressee,ambiguous_specificity,ambiguous_scope,requires_legal_expertise,non_english_or_redacted,coder_notes
1,vic/VicCorC/2015/98,vic/VicCorC/2015/98,VIC,2015,2010-2019,1,1248,THEME-MED,MECH-PROC,ADDR-PROF,SPEC-1,SCOPE-SYS,False,False,False,False,False,False,False,False,
2,vic/VicCorC/2019/26024,vic/VicCorC/2019/26024,VIC,2019,2010-2019,1,1399,THEME-MH,MECH-INV,ADDR-DEPT-NAMED,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,OPA is executive-internal office → DEPT-NAMED. Review as endpoint → INV. Direct operational verb → SPEC-2.
3,nsw/NSWCorC/2025/53,nsw/NSWCorC/2025/53,NSW,2025,2020plus,1,402,THEME-CUST,MECH-PROC,ADDR-POLICE,SPEC-2,SCOPE-IND,False,False,False,False,False,False,False,False,One-off case referral → SCOPE-IND. Commissioner NSW Police → ADDR-POLICE.
4,vic/VicCorC/2022/27720,vic/VicCorC/2022/27720,VIC,2022,2020plus,1,1111,THEME-MED,MECH-PROC,ADDR-HEALTH,SPEC-1,SCOPE-SYS,False,False,False,False,False,False,False,False,
5,nt/NTCorC/2020/4,nt/NTCorC/2020/4,NT,2020,2020plus,1,1401,THEME-REC,MECH-LEG,ADDR-DEPT-GENERIC,SPEC-1,SCOPE-SYS,False,False,False,False,False,False,True,False,
6,nsw/NSWCorC/2015/70,nsw/NSWCorC/2015/70,NSW,2015,2010-2019,4,870,THEME-CUST,MECH-PROC,ADDR-DEPT-NAMED,SPEC-2,SCOPE-SYS,False,False,False,True,False,False,False,False,First-stated addressee is Minister for Justice (DEPT-NAMED); subsequent recs directed at Dept of Justice (Corrective Services).
7,qld/QldCorC/2017/15,qld/QldCorC/2017/15,QLD,2017,2010-2019,1,1849,THEME-MED,MECH-PROC,ADDR-PRIVATE,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,Blue Care is a named private aged-care provider → ADDR-PRIVATE.
8,vic/VicCorC/2021/27213,vic/VicCorC/2021/27213,VIC,2021,2020plus,6,3820,THEME-CUST,MECH-PROC,ADDR-POLICE,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,
9,qld/QldCorC/2007/41,qld/QldCorC/2007/41,QLD,2007,pre2010,2,1829,THEME-RTA,MECH-LEG,ADDR-UNSPEC,SPEC-1,SCOPE-SYS,False,False,True,True,False,False,True,False,"First rec mandates breathalysing all drivers in collisions — legislative endpoint, no specific addressee named. Second rec to Police (PROC/POLICE). Ambiguous mech and addr."
10,wa/WACorC/2023/34,wa/WACorC/2023/34,WA,2023,2020plus,8,4460,THEME-MED,MECH-PROC,ADDR-PRIVATE,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,
11,sa/SACorC/2012/23,sa/SACorC/2012/23,SA,2012,2010-2019,1,1051,THEME-MED,MECH-INV,ADDR-DEPT-NAMED,SPEC-2,SCOPE-IND,False,False,False,False,False,False,False,False,Minister for Health is specifically named → DEPT-NAMED. 'Investigate whether sufficient doctors' → INV endpoint. One-off inquiry → SCOPE-IND.
12,sa/SACorC/2013/6,sa/SACorC/2013/6,SA,2013,2010-2019,4,3082,THEME-DV,MECH-FUND,ADDR-POLICE,SPEC-2,SCOPE-SYS,False,False,True,True,False,False,False,False,First-stated: Commissioner of Police (POLICE). First rec allocates resources → FUND. Recs 5-6 to Minister for Correctional Services → ambiguous addr and mech.
13,act/ACTCD/2025/4,act/ACTCD/2025/4,ACT,2025,2020plus,7,6608,THEME-FIRE,MECH-PROC,ADDR-DEPT-GENERIC,SPEC-1,SCOPE-SYS,False,False,False,True,False,False,False,False,'The ACT' in first rec → DEPT-GENERIC (jurisdictional shorthand). ADF also appears in subsequent recs → ambiguous_addressee.
14,nt/NTCorC/2018/7,nt/NTCorC/2018/7,NT,2018,2010-2019,6,2279,THEME-CUST,MECH-PROC,ADDR-POLICE,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,
15,tas/TasCorC/2022/120,tas/TasCorC/2022/120,TAS,2022,2020plus,2,751,THEME-PROD,MECH-PROC,ADDR-UNSPEC,SPEC-1,SCOPE-SYS,False,False,False,False,False,False,False,False,
16,act/ACTCD/2018/2,act/ACTCD/2018/2,ACT,2018,2010-2019,1,842,THEME-MED,MECH-INV,ADDR-HEALTH,SPEC-1,SCOPE-SYS,False,False,True,True,False,False,False,False,First rec to Canberra Hospital (HEALTH); rec 2 to Peter MacCallum Cancer Institute (also HEALTH but different entity) → ambiguous_addressee. Recs 1-2 → INV; rec 3 → PROC → ambiguous_mech.
17,qld/QldCorC/2010/27,qld/QldCorC/2010/27,QLD,2010,2010-2019,3,4056,THEME-RTA,MECH-PROC,ADDR-UNSPEC,SPEC-1,SCOPE-SYS,False,False,False,True,False,False,False,False,First rec has no specific addressee; recs 2-3 name Queensland Transport and QPS → ambiguous_addressee.
18,vic/VicCorC/2023/28537,vic/VicCorC/2023/28537,VIC,2023,2020plus,14,10671,THEME-DRUG,MECH-PROC,ADDR-DEPT-NAMED,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,Named sub-section of Victorian Dept of Health → DEPT-NAMED. 'Implement' operational verb → SPEC-2.
19,wa/WACorC/2019/51,wa/WACorC/2019/51,WA,2019,2010-2019,9,5206,THEME-MH,MECH-PROC,ADDR-HEALTH,SPEC-1,SCOPE-SYS,False,False,False,True,False,False,False,False,EMHS first-stated (HEALTH); rec 6 to Office of Chief Psychiatrist (DEPT-NAMED) → ambiguous_addr.
20,vic/VicCorC/2013/163,vic/VicCorC/2013/163,VIC,2013,2010-2019,3,1797,THEME-PROD,MECH-PROC,ADDR-DEPT-NAMED,SPEC-2,SCOPE-SYS,False,False,True,True,False,False,False,False,First rec to Minister for Consumer Affairs (DEPT-NAMED) to issue warning → PROC. Recs 2-3 involve generic 'responsible authorities' and product standards → ambiguous addr and mech.
21,nt/NTCorC/2018/3,nt/NTCorC/2018/3,NT,2018,2010-2019,1,279,THEME-CUST,MECH-PROC,ADDR-POLICE,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,
22,qld/QldCorC/2019/28,qld/QldCorC/2019/28,QLD,2019,2010-2019,23,8625,THEME-MH,MECH-PROC,ADDR-POLICE,SPEC-2,SCOPE-SYS,False,False,False,True,False,False,False,False,Recs reprinted from prior inquest (Appleton/Malone); coroner makes no new recs but text contains the original recs. First-stated: QCS (POLICE); QHealth also named → ambiguous_addr.
23,wa/WACorC/2013/39,wa/WACorC/2013/39,WA,2013,2010-2019,23,8988,THEME-REC,MECH-PROC,ADDR-DEPT-NAMED,SPEC-1,SCOPE-SYS,False,False,False,True,False,False,False,False,Local Governments → DEPT-NAMED (canonical list). Recs 3-4 involve WALGA (DEPT-NAMED) and REIWA (PROF) → ambiguous_addr.
24,nsw/NSWCorC/2014/26,nsw/NSWCorC/2014/26,NSW,2014,2010-2019,6,1009,THEME-MED,MECH-PROC,ADDR-DEPT-NAMED,SPEC-2,SCOPE-SYS,False,False,False,True,False,False,False,False,Codebook v2.3 §4(a) 'consider' exception fires: named actor (Minister for Health) + specifiable consent form with 6 listed items → SPEC-2. Multiple subsequent addressees → ambiguous_addr.
25,vic/VicCorC/2022/28269,vic/VicCorC/2022/28269,VIC,2022,2020plus,5,1855,THEME-MH,MECH-PROC,ADDR-HEALTH,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,
26,sa/SACorC/2010/24,sa/SACorC/2010/24,SA,2010,2010-2019,1,4848,THEME-DRUG,MECH-PROC,ADDR-HEALTH,SPEC-1,SCOPE-SYS,False,False,False,False,False,False,False,False,Medical Director of SAAS → ADDR-HEALTH. 'Consider issuing' → SPEC-1.
27,sa/SACorC/2004/30,sa/SACorC/2004/30,SA,2004,pre2010,1,1504,THEME-DRUG,MECH-INV,ADDR-DEPT-NAMED,SPEC-2,SCOPE-IND,False,False,False,False,False,False,False,False,Minister for Health is named → DEPT-NAMED. 'Investigate feasibility' → INV as endpoint. One-off inquiry → SCOPE-IND.
28,tas/TasCorC/2022/113,tas/TasCorC/2022/113,TAS,2022,2020plus,2,794,THEME-WORK,MECH-PROC,ADDR-DEPT-NAMED,SPEC-1,SCOPE-SYS,False,False,False,False,False,False,False,False,Firearms Services is a named government agency → DEPT-NAMED. Theme: firearms/workplace-adjacent → THEME-WORK.
29,qld/QldCorC/2025/38,qld/QldCorC/2025/38,QLD,2025,2020plus,3,605,THEME-OTHER,MECH-OTHER,ADDR-UNSPEC,SPEC-1,SCOPE-IND,False,False,False,False,False,False,False,False,Coroner explicitly states no recommendations to be made.
30,vic/VicCorC/2015/9,vic/VicCorC/2015/9,VIC,2015,2010-2019,1,2130,THEME-RTA,MECH-INV,ADDR-DEPT-NAMED,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,VicRoads named → DEPT-NAMED. 'Review intersections with a view to upgrading' → INV endpoint (review is the deliverable). SPEC-2: named actor + direct 'review' verb.
31,wa/WACorC/2023/21,wa/WACorC/2023/21,WA,2023,2020plus,7,5590,THEME-MH,MECH-FUND,ADDR-POLICE,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,WAPF specifically named → ADDR-POLICE. Endpoint is FTE allocation → MECH-FUND. SPEC-2: named actor + direct funding verb.
32,nsw/NSWCorC/2020/60,nsw/NSWCorC/2020/60,NSW,2020,2020plus,1,364,THEME-CUST,MECH-PROC,ADDR-POLICE,SPEC-2,SCOPE-IND,False,False,False,False,False,False,False,False,
33,vic/VicCorC/2022/27865,vic/VicCorC/2022/27865,VIC,2022,2020plus,5,1968,THEME-MED,MECH-INV,ADDR-HEALTH,SPEC-2,SCOPE-SYS,False,False,True,False,False,False,False,False,First rec to SWHC is 'conduct a review' → INV. Recs ii-v involve implement policy/peer review → PROC → ambiguous_mech.
34,vic/VicCorC/2017/24466,vic/VicCorC/2017/24466,VIC,2017,2010-2019,2,1463,THEME-CHILD,MECH-PROC,ADDR-DEPT-NAMED,SPEC-2,SCOPE-SYS,False,False,False,True,False,False,False,False,Banyule City Council → DEPT-NAMED (local government). Rec 3 to Dept Health and Human Services → ambiguous_addr. Theme: disability/home care with child welfare angle → THEME-CHILD is close but rec 1-2 focus on disability home care → THEME-MED more accurate.
35,qld/QldCorC/2025/24,qld/QldCorC/2025/24,QLD,2025,2020plus,2,909,THEME-OTHER,MECH-OTHER,ADDR-UNSPEC,SPEC-1,SCOPE-IND,False,False,False,False,False,False,False,False,Coroner explicitly declines to make any recommendations.
36,tas/TasCorC/2019/9,tas/TasCorC/2019/9,TAS,2019,2010-2019,1,754,THEME-OTHER,MECH-OTHER,ADDR-UNSPEC,SPEC-1,SCOPE-IND,False,False,False,False,False,False,False,False,Coroner explicitly states no recommendations required.
37,nsw/NSWCorC/2018/75,nsw/NSWCorC/2018/75,NSW,2018,2010-2019,23,11685,THEME-DRUG,MECH-PROC,ADDR-HEALTH,SPEC-1,SCOPE-SYS,False,False,False,False,False,False,False,False,CEO South Western Sydney LHD → ADDR-HEALTH. 'Consideration be given' → SPEC-1.
38,nt/NTCorC/2000/6,nt/NTCorC/2000/6,NT,2000,pre2010,17,10418,THEME-OTHER,MECH-OTHER,ADDR-UNSPEC,SPEC-1,SCOPE-IND,False,False,False,False,False,False,False,False,Coroner explicitly declines to make any recommendations despite discussing multiple deficiencies.
39,tas/TasCorC/2021/24,tas/TasCorC/2021/24,TAS,2021,2020plus,1,372,THEME-OTHER,MECH-OTHER,ADDR-UNSPEC,SPEC-1,SCOPE-IND,False,False,False,False,False,False,False,False,Coroner explicitly states no recommendations necessary.
40,sa/SACorC/2003/10,sa/SACorC/2003/10,SA,2003,pre2010,1,1080,THEME-CUST,MECH-INV,ADDR-DEPT-NAMED,SPEC-2,SCOPE-SYS,False,False,True,True,False,False,False,False,"First rec to Dept Correctional Services (DEPT-NAMED) → review form (INV). Rec 2: cell design (INFRA), rec 3: Commissioner of Police (POLICE) → ambiguous mech and addr."
41,qld/QldCorC/2014/48,qld/QldCorC/2014/48,QLD,2014,2010-2019,1,287,THEME-OTHER,MECH-OTHER,ADDR-UNSPEC,SPEC-1,SCOPE-IND,False,False,False,False,False,False,False,False,Coroner defers all recommendations to phase two of inquest; none made in this finding.
42,sa/SACorC/2009/17,sa/SACorC/2009/17,SA,2009,pre2010,1,1243,THEME-CUST,MECH-PROC,ADDR-DEPT-NAMED,SPEC-2,SCOPE-SYS,False,False,True,False,False,False,False,False,First rec: Dept Correctional Services revise form → PROC. Second rec: eliminate hanging points → INFRA → ambiguous_mech.
43,nt/NTCorC/2021/2,nt/NTCorC/2021/2,NT,2021,2020plus,5,1219,THEME-CUST,MECH-FUND,ADDR-POLICE,SPEC-2,SCOPE-SYS,False,False,True,False,False,False,False,False,First rec (Commissioner of Police) endpoint is filling positions → FUND. Rec 117 CCTV cameras → INFRA → ambiguous_mech.
44,vic/VicCorC/2013/102,vic/VicCorC/2013/102,VIC,2013,2010-2019,1,756,THEME-MED,MECH-PROC,ADDR-PRIVATE,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,St Vincent's Private Hospital is a named private entity → ADDR-PRIVATE.
45,vic/VicCorC/2013/23723,vic/VicCorC/2013/23723,VIC,2013,2010-2019,1,644,THEME-DRUG,MECH-PROC,ADDR-DEPT-NAMED,SPEC-1,SCOPE-SYS,False,False,False,False,False,False,False,False,
46,sa/SACorC/2022/24,sa/SACorC/2022/24,SA,2022,2020plus,1,8822,THEME-MH,MECH-PROC,ADDR-DEPT-NAMED,SPEC-1,SCOPE-SYS,False,False,False,True,False,False,False,False,Address line names both Minister for Health and Wellbeing and CE of SA Health → ambiguous_addr. Passive 'That [X] be amended' form → SPEC-1.
47,tas/TasCorC/2017/43,tas/TasCorC/2017/43,TAS,2017,2010-2019,1,3969,THEME-OTHER,MECH-OTHER,ADDR-UNSPEC,SPEC-1,SCOPE-IND,False,False,False,False,False,False,False,False,Extracted text ends mid-sentence before formal recommendations; no complete recommendation present in this text block.
48,qld/QldCorC/2009/63,qld/QldCorC/2009/63,QLD,2009,pre2010,1,1226,THEME-OTHER,MECH-OTHER,ADDR-UNSPEC,SPEC-1,SCOPE-IND,False,False,False,False,False,False,False,False,Coroner explicitly declines to make comments or recommendations.
49,nt/NTCorC/2005/10,nt/NTCorC/2005/10,NT,2005,pre2010,2,513,THEME-OTHER,MECH-OTHER,ADDR-UNSPEC,SPEC-1,SCOPE-IND,False,False,False,False,False,False,False,False,Section 35(3) mandatory report to Commissioner of Police/DPP is not a discretionary recommendation; coroner explicitly makes no further recommendations.
50,vic/VicCorC/2013/23398,vic/VicCorC/2013/23398,VIC,2013,2010-2019,2,1546,THEME-REC,MECH-PROC,ADDR-UNSPEC,SPEC-1,SCOPE-SYS,False,False,False,True,False,False,False,False,First rec to unnamed class of retailers → ADDR-UNSPEC (no specific named entity). Rec 2 to named sporting clubs → ambiguous_addr.
