sample_order,recommendation_id,case_id,jurisdiction,year,year_bin,recommendation_count,text_chars,theme,mechanism,addressee,specificity,scope,has_deadline_or_metric,ambiguous_theme,ambiguous_mechanism,ambiguous_addressee,ambiguous_specificity,ambiguous_scope,requires_legal_expertise,non_english_or_redacted,coder_notes
1,vic/VicCorC/2015/98,vic/VicCorC/2015/98,VIC,2015,2010-2019,1,1248,THEME-MED,MECH-PROC,ADDR-PROF,SPEC-1,SCOPE-SYS,False,False,False,False,False,False,False,False,"RANZCOG asked to consider a competency program for locum obstetricians; lead verb ""consider whether"" so aspirational."
2,vic/VicCorC/2019/26024,vic/VicCorC/2019/26024,VIC,2019,2010-2019,1,1399,THEME-MED,MECH-PROC,ADDR-DEPT-NAMED,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,OPA (Office of the Public Advocate) to review opportunities to expand its support service for capacity-affected patients; OPA is a named executive office per v2.5 list.
3,nsw/NSWCorC/2025/53,nsw/NSWCorC/2025/53,NSW,2025,2020plus,1,402,THEME-OTHER,MECH-INV,ADDR-POLICE,SPEC-2,SCOPE-IND,False,False,False,False,False,False,False,False,Referral of a specific unsolved homicide to the NSW Police Unsolved Homicide Team for review.
4,vic/VicCorC/2022/27720,vic/VicCorC/2022/27720,VIC,2022,2020plus,1,1111,THEME-MED,MECH-PROC,ADDR-HEALTH,SPEC-1,SCOPE-SYS,False,False,False,False,False,False,False,False,"CEO of Peninsula Health to consider reviewing MePACS follow-up timeframe protocols; ""consider reviewing"" lead."
5,nt/NTCorC/2020/4,nt/NTCorC/2020/4,NT,2020,2020plus,1,1401,THEME-REC,MECH-LEG,ADDR-DEPT-GENERIC,SPEC-1,SCOPE-SYS,False,True,False,False,False,False,False,False,"NT Govt to give consideration to the pool-fencing exemption breadth - contemplated action is amending a regulatory exemption (LEG); ""NT Government"" is jurisdictional shorthand so DEPT-GENERIC and SPEC-1. Theme could plausibly be CHILD; flagged ambiguous_theme."
6,nsw/NSWCorC/2015/70,nsw/NSWCorC/2015/70,NSW,2015,2010-2019,4,870,THEME-CUST,MECH-PROC,ADDR-DEPT-NAMED,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,Three recs directed at Dept of Justice (Corrective Services) re inmate safety/monitoring/handbook at Silverwater MRRC; address line is the Minister for Justice (DEPT-NAMED).
7,qld/QldCorC/2017/15,qld/QldCorC/2017/15,QLD,2017,2010-2019,1,1849,THEME-MED,MECH-PROC,ADDR-PRIVATE,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,Three procedural protocol recs to Blue Care (private aged-care provider) re documentation and escalation.
8,vic/VicCorC/2021/27213,vic/VicCorC/2021/27213,VIC,2021,2020plus,6,3820,THEME-OTHER,MECH-PROC,ADDR-POLICE,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,"Six recs to Victoria Police re SIU SOPs, training and review processes for NSPOI handling; first-stated rec is SOP review/amend."
9,qld/QldCorC/2007/41,qld/QldCorC/2007/41,QLD,2007,pre2010,2,1829,THEME-RTA,MECH-PROC,ADDR-POLICE,SPEC-1,SCOPE-SYS,False,False,False,False,False,False,False,False,"Two recs - mandatory breathalysing of drivers in serious-injury crashes, and police communication review. First-stated rec has no explicitly named accountable actor (uses ""every driver... must be""), so SPEC-1."
10,wa/WACorC/2023/34,wa/WACorC/2023/34,WA,2023,2020plus,8,4460,THEME-MED,MECH-PROC,ADDR-PRIVATE,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,Three policy/training recs to Brightwater Care Group (private aged-care provider) re wheelchair restraint and driver training.
